"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J9307,"Injection, pralatrexate, 1 mg",Folotyn,Pralatrexate,"$16,222,792","90,017","1,756",201,$180.22,"$9,238.49","$80,710.41","$16,614,215","87,204","1,809",198,$190.52,"$9,184.20","$83,910.17","$17,667,955","86,181","1,758",202,$205.01,"$10,050.03","$87,465.12","$19,160,101","87,060","1,816",187,$220.08,"$10,550.72","$102,460.43","$14,770,204","62,179","1,313",150,$237.54,"$11,249.20","$98,468.03",$242.91,7.94%,7.15%
J9308,"Injection, ramucirumab, 5 mg",Cyramza,Ramucirumab, , , , , , , , , , , , , , , , , , , , , ,"$102,369,826","1,899,254","13,693","2,919",$53.90,"$7,476.07","$35,070.17","$105,936,795","1,927,228","14,210","3,095",$54.97,"$7,455.09","$34,228.37",$56.44,1.98%,1.98%
J9310,"Injection, rituximab, 100 mg",Rituxan,Rituximab,"$1,504,047,829","2,262,322","278,743","69,892",$664.82,"$5,395.82","$21,519.60","$1,500,088,460","2,179,941","267,627","68,665",$688.13,"$5,605.15","$21,846.48","$1,560,999,014","2,154,383","261,544","68,544",$724.57,"$5,968.40","$22,773.68","$1,663,513,650","2,172,976","261,190","69,861",$765.55,"$6,368.98","$23,811.76","$1,753,455,037","2,154,865","258,813","70,402",$813.72,"$6,774.99","$24,906.32",$831.90,6.29%,5.18%
J9315,"Injection, romidepsin, 1 mg",Istodax,Romidepsin,"$19,877,899","81,458","2,739",345,$244.03,"$7,257.36","$57,617.10","$28,595,573","109,849","3,565",408,$260.32,"$8,021.20","$70,087.19","$30,985,592","110,806","3,545",411,$279.64,"$8,740.65","$75,390.73","$33,835,947","114,531","3,678",406,$295.43,"$9,199.55","$83,339.77","$31,784,577","102,462","3,381",368,$310.21,"$9,400.94","$86,371.13",$318.00,5.00%,6.18%
J9320,"Injection, streptozocin, 1 gram",Zanosar,Streptozocin,"$188,389",715,556,53,$263.48,$338.83,"$3,554.50","$199,989",646,420,49,$309.58,$476.17,"$4,081.42","$118,845",366,277,33,$324.71,$429.04,"$3,601.36","$157,549",507,408,35,$310.75,$386.15,"$4,501.39","$108,809",347,264,27,$313.84,$412.16,"$4,029.98",$320.15,1.00%,4.47%
J9328,"Injection, temozolomide, 1 mg",Temodar (J9328),Temozolomide,"$1,144,662","235,978",636,54,$4.85,"$1,799.78","$21,197.44","$1,018,691","198,436",681,58,$5.13,"$1,495.88","$17,563.64","$945,301","152,804",370,36,$6.19,"$2,554.87","$26,258.35","$937,701","130,272",269,38,$7.20,"$3,485.88","$24,676.35","$936,289","124,639",300,31,$7.51,"$3,120.96","$30,202.86",$8.90,4.36%,11.55%
J9330,"Injection, temsirolimus, 1 mg",Torisel,Temsirolimus,"$28,526,975","518,846","17,746","1,692",$54.98,"$1,607.52","$16,859.91","$27,433,462","483,676","16,422","1,545",$56.72,"$1,670.53","$17,756.29","$24,536,516","408,935","13,754","1,336",$60.00,"$1,783.95","$18,365.66","$17,375,568","273,304","9,444",931,$63.58,"$1,839.85","$18,663.34","$16,034,715","237,565","7,928",751,$67.50,"$2,022.54","$21,351.15",$68.93,6.17%,5.26%
J9351,"Injection, topotecan, 0.1 mg",Hycamtin (J9351)*,Topotecan HCL*,"$4,691,555","1,922,789","32,432","4,415",$2.44,$144.66,"$1,062.64","$3,991,268","1,918,749","31,194","4,315",$2.08,$127.95,$924.98,"$3,497,318","1,973,908","31,187","4,200",$1.77,$112.14,$832.69,"$1,960,078","915,448","17,431","1,849",$2.14,$112.45,"$1,060.07","$1,722,957","1,509,435","24,237","3,104",$1.14,$71.09,$555.08,$1.17,-46.69%,-17.30%
J9354,"Injection, ado-trastuzumab emtansine, 1 mg",Kadcyla,Ado-Trastuzumab Emtansine, , , , , , , ,"$100,918,301","3,529,700","12,879","2,106",$28.59,"$7,835.88","$47,919.42","$105,253,928","3,677,811","13,307","2,180",$28.62,"$7,909.67","$48,281.62","$113,049,843","3,952,395","14,309","2,231",$28.60,"$7,900.61","$50,672.27","$115,989,170","3,990,487","14,604","2,222",$29.07,"$7,942.29","$52,200.35",$29.67,1.62%,0.55%
J9355,"Injection, trastuzumab, 10 mg",Herceptin,Trastuzumab,"$501,794,735","6,507,163","168,917","17,195",$77.11,"$2,970.66","$29,182.60","$559,782,916","6,983,993","175,465","18,444",$80.15,"$3,190.28","$30,350.41","$642,970,170","7,604,010","183,778","19,916",$84.56,"$3,498.62","$32,284.10","$702,888,944","7,887,553","188,091","20,679",$89.11,"$3,736.96","$33,990.47","$782,404,051","8,320,230","186,379","20,539",$94.04,"$4,197.92","$38,093.58",$95.86,5.52%,5.08%
J9357,"Injection, valrubicin, intravesical, 200 mg",Valstar,Valrubicin,"$14,947,449","14,600","3,636",736,"$1,023.80","$4,110.96","$20,309.03","$16,276,494","15,487","3,817",792,"$1,050.98","$4,264.21","$20,551.13","$16,253,919","15,065","3,768",775,"$1,078.92","$4,313.67","$20,972.80","$11,625,546","10,475","2,588",519,"$1,109.84","$4,492.10","$22,399.90","$8,448,328","7,383","1,853",399,"$1,144.29","$4,559.27","$21,173.75","$1,166.88",3.10%,2.82%
J9360,"Injection, vinblastine sulfate, 1 mg",Vinblastine Sulfate,Vinblastine Sulfate,"$75,857","53,158","5,512",957,$1.43,$13.76,$79.27,"$102,309","51,915","5,257",933,$1.97,$19.46,$109.66,"$130,241","49,047","4,832",871,$2.66,$26.95,$149.53,"$141,297","40,919","4,022",738,$3.45,$35.13,$191.46,"$142,152","37,101","3,733",700,$3.83,$38.08,$203.07,$3.57,10.96%,28.01%
J9370,"Vincristine sulfate, 1 mg",Vincasar PFs*,Vincristine Sulfate*,"$259,991","57,505","30,487","8,014",$4.52,$8.53,$32.44,"$277,374","50,387","26,889","7,008",$5.50,$10.32,$39.58,"$221,715","46,336","24,902","6,381",$4.78,$8.90,$34.75,"$229,535","42,601","23,326","5,930",$5.39,$9.84,$38.71,"$185,156","40,009","22,024","5,601",$4.63,$8.41,$33.06,$4.71,-14.11%,0.58%
J9371,"Injection, vincristine sulfate liposome, 1 mg",Marqibo,Vincristine Sulfate Liposomal, , , , , , , ,"$1,237,323",669,202,74,"$1,849.51","$6,125.36","$16,720.58","$835,026",407,92,40,"$2,051.66","$9,076.37","$20,875.65","$1,601,842",695,142,47,"$2,304.81","$11,280.58","$34,081.75","$1,064,924",458,101,38,"$2,325.16","$10,543.80","$28,024.31","$2,601.31",0.88%,7.93%
J9390,"Injection, vinorelbine tartrate, 10 mg",Navelbine*,Vinorelbine Tartrate*,"$1,461,522","147,637","33,439","4,344",$9.90,$43.71,$336.45,"$1,287,483","125,085","28,262","3,591",$10.29,$45.56,$358.53,"$911,555","91,431","20,719","2,616",$9.97,$44.00,$348.45,"$651,331","63,066","14,463","1,809",$10.33,$45.03,$360.05,"$467,119","54,130","12,152","1,506",$8.63,$38.44,$310.17,$8.79,-16.44%,-3.37%
J9395,"Injection, fulvestrant, 25 mg",Faslodex,Fulvestrant,"$163,394,661","1,860,570","96,338","14,406",$87.82,"$1,696.06","$11,342.13","$172,789,100","1,938,114","99,046","14,546",$89.15,"$1,744.53","$11,878.81","$186,202,981","2,052,598","103,741","15,231",$90.72,"$1,794.88","$12,225.26","$224,227,377","2,418,678","121,123","17,085",$92.71,"$1,851.24","$13,124.22","$254,010,621","2,688,455","134,422","18,470",$94.48,"$1,889.65","$13,752.61",$96.23,1.92%,1.84%
J9400,"Injection, ziv-aflibercept, 1 mg",Zaltrap,Ziv-Aflibercept, , , , , , , ,"$13,471,110","1,670,874","4,810","1,021",$8.06,"$2,800.65","$13,194.04","$10,123,481","1,280,659","3,617",755,$7.90,"$2,798.86","$13,408.58","$6,208,205","771,786","2,274",458,$8.04,"$2,730.08","$13,555.03","$3,925,386","491,522","1,453",292,$7.99,"$2,701.57","$13,443.10",$8.12,-0.72%,-0.32%
P9041,"Infusion, albumin (human), 5%, 50 ml","Infusion, Albumin (Human), 5%, 50 mL**", ,"$4,708,786","210,546","4,642","1,500",$22.36,"$1,014.39","$3,139.19","$5,665,644","275,044","5,919","2,182",$20.60,$957.20,"$2,596.54","$3,270,224","304,594","6,695","2,554",$10.74,$488.46,"$1,280.43","$3,624,884","330,632","6,349","1,856",$10.96,$570.94,"$1,953.06","$2,939,406","256,650","4,601","1,334",$11.45,$638.86,"$2,203.45",$11.68,4.46%,-15.41%
P9045,"Infusion, albumin (human), 5%, 250 ml","Infusion, Albumin (Human), 5%, 250 mL**", ,"$8,600,692","144,050","14,968","7,145",$59.71,$574.61,"$1,203.74","$14,863,523","221,713","20,544","8,401",$67.04,$723.50,"$1,769.26","$13,589,035","253,276","23,189","8,904",$53.65,$586.01,"$1,526.17","$13,167,368","246,125","20,904","7,106",$53.50,$629.90,"$1,852.99","$14,462,194","273,056","20,309","5,355",$52.96,$712.11,"$2,700.69",$54.72,-1.00%,-2.95%
P9046,"Infusion, albumin (human), 25%, 20 ml","Infusion, Albumin (Human), 25%, 20 mL**", ,"$878,780","32,105","3,410",909,$27.37,$257.71,$966.75,"$1,340,680","40,048","4,456","1,081",$33.48,$300.87,"$1,240.22","$765,776","34,572","3,952","1,086",$22.15,$193.77,$705.13,"$709,278","32,023","3,758","1,041",$22.15,$188.74,$681.34,"$730,854","32,954","3,865","1,012",$22.18,$189.10,$722.19,$22.49,0.13%,-5.12%
P9047,"Infusion, albumin (human), 25%, 50 ml","Infusion, Albumin (Human), 25%, 50 mL**", ,"$12,579,758","187,168","46,720","15,123",$67.21,$269.26,$831.83,"$14,464,451","213,264","53,758","16,976",$67.82,$269.07,$852.05,"$12,876,926","244,821","60,875","18,425",$52.60,$211.53,$698.88,"$14,212,874","270,973","67,020","17,932",$52.45,$212.07,$792.60,"$15,186,334","290,866","71,561","18,309",$52.21,$212.22,$829.45,$53.44,-0.46%,-6.12%
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",Feraheme (Q0138),Ferumoxytol,"$33,073,356","51,185,118","96,174","42,464",$0.65,$343.89,$778.86,"$39,705,438","56,002,063","103,291","45,837",$0.71,$384.40,$866.23,"$42,280,018","53,966,059","98,816","43,877",$0.78,$427.87,$963.60,"$46,892,275","56,039,767","102,473","45,086",$0.84,$457.61,"$1,040.06","$49,615,147","56,430,159","102,907","45,526",$0.88,$482.14,"$1,089.82",$0.89,5.07%,8.00%
Q0139,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (for esrd on dialysis)",Feraheme (Q0139),Ferumoxytol,"$1,144,568","2,090,117","3,708","2,007",$0.55,$308.68,$570.29,"$1,129,795","1,529,795","2,690","1,608",$0.74,$420.00,$702.61,"$931,663","1,187,633","2,271","1,385",$0.78,$410.24,$672.68,"$1,123,488","1,340,041","2,608","1,547",$0.84,$430.79,$726.24,"$1,057,760","1,203,731","2,079","1,195",$0.88,$508.78,$885.15,$0.89,4.81%,12.55%
Q0162,"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Ondansetron HCL (Q0162)*,Ondansetron HCL*,"$8,398","128,544","7,764","1,564",$0.07,$1.08,$5.37,"$9,264","83,195","4,736","1,368",$0.11,$1.96,$6.77,"$9,083","106,025","5,425","1,381",$0.09,$1.67,$6.58,"$23,439","95,759","4,987","1,311",$0.24,$4.70,$17.88,"$4,889","85,473","4,292","1,112",$0.06,$1.14,$4.40,$0.04,-76.63%,-3.27%
Q0163,"Diphenhydramine hydrochloride, 50 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at time of chemotherapy treatment not to exceed a 48 hour dosage regimen",Diphenhydramine HCL (Q0163),Diphenhydramine HCL,$572,"2,453","1,922",448,$0.23,$0.30,$1.28,"$1,959","1,769","1,420",397,$1.11,$1.38,$4.93,$398,"1,358","1,332",413,$0.29,$0.30,$0.96,$401,"1,305","1,260",321,$0.31,$0.32,$1.25,$292,"1,055","1,024",257,$0.28,$0.29,$1.14,$0.26,-9.77%,4.43%
Q0164,"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Prochlorperazine Maleate,Prochlorperazine Maleate,$11,311,113,61,$0.04,$0.10,$0.18,$125,"2,612","1,092",236,$0.05,$0.11,$0.53,$259,"2,781","1,096",213,$0.09,$0.24,$1.22,$232,"2,262",940,182,$0.10,$0.25,$1.28,$136,"1,510",605,153,$0.09,$0.22,$0.89,$0.04,-12.24%,26.24%
Q0166,"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Granisetron HCL (Q0166),Granisetron HCL,"$11,741","4,383","3,643",735,$2.68,$3.22,$15.97,"$4,502","2,007","1,809",417,$2.24,$2.49,$10.80,"$3,655","2,705","2,268",481,$1.35,$1.61,$7.60,"$2,854","2,566","2,258",492,$1.11,$1.26,$5.80,"$6,061","1,789","1,506",352,$3.39,$4.02,$17.22,$3.31,204.58%,6.05%
Q0167,"Dronabinol, 2.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Dronabinol*,Dronabinol*,"$18,770","4,436",84,57,$4.23,$223.45,$329.30,"$19,551","6,016",128,71,$3.25,$152.75,$275.37,"$10,767","3,097",68,43,$3.48,$158.34,$250.40,"$13,998","3,711",68,41,$3.77,$205.85,$341.41,"$15,890","2,899",61,47,$5.48,$260.49,$338.08,$5.88,45.31%,6.68%
Q2035,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)","Influenza Virus Vaccine (Afluria), Age 3+ Years**", ,"$7,831,765","678,562","678,540","672,700",$11.54,$11.54,$11.64,"$5,467,466","421,234","421,181","418,757",$12.98,$12.98,$13.06,"$4,944,241","334,944","334,874","333,099",$14.76,$14.76,$14.84,"$5,840,800","359,662","359,584","357,247",$16.24,$16.24,$16.35,"$5,368,425","276,168","276,124","274,169",$19.44,$19.44,$19.58,$16.63,19.70%,13.92%
Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)","Influenza Virus Vaccine(Fluvirin), Age 3+ Years**", ,"$55,837,031","4,037,104","4,026,907","3,962,893",$13.83,$13.87,$14.09,"$58,197,953","4,103,962","4,083,241","4,041,105",$14.18,$14.25,$14.40,"$38,864,386","2,579,061","2,558,846","2,538,687",$15.07,$15.19,$15.31,"$31,073,105","1,994,320","1,993,141","1,971,750",$15.58,$15.59,$15.76,"$9,862,237","590,295","590,277","582,813",$16.71,$16.71,$16.92,$16.63,7.23%,4.84%
Q2043,"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion",Provenge,Sipuleucel-T/Lactated Ringers,"$178,440,564","5,525","5,347","2,067","$32,296.93","$33,372.09","$86,328.28","$173,184,055","5,114","4,947","1,910","$33,864.70","$35,007.89","$90,672.28","$170,605,280","4,848","4,715","1,794","$35,190.86","$36,183.52","$95,097.70","$179,058,484","4,842","4,698","1,793","$36,980.27","$38,113.77","$99,865.30","$202,485,909","5,230","5,085","1,926","$38,716.24","$39,820.24","$105,132.87","$39,464.49",4.69%,4.64%
Q2050,"Injection, doxorubicin hydrochloride, liposomal, not otherwise specified, 10 mg",Doxil*,Doxorubicin HCL Peg-Liposomal*,"$47,632,741","89,165","13,280","4,788",$534.21,"$3,586.80","$9,948.36","$87,486,141","180,071","27,175","7,736",$485.84,"$3,219.36","$11,308.96","$88,733,251","189,917","28,659","7,777",$467.22,"$3,096.17","$11,409.70","$78,314,156","185,374","27,835","7,863",$422.46,"$2,813.51","$9,959.83","$69,396,867","178,323","26,961","7,548",$389.16,"$2,573.97","$9,194.07",$399.13,-7.88%,-7.61%
Q3027,"Injection, interferon beta-1a, 1 mcg for intramuscular use",Avonex*,Interferon Beta-1a*, , , , , , , ,"$5,528,849","162,015","4,502",216,$34.13,"$1,228.09","$25,596.52","$4,469,785","117,919","3,176",136,$37.91,"$1,407.36","$32,866.07","$4,721,061","109,882","3,082",108,$42.96,"$1,531.82","$43,713.53","$3,775,573","82,521","2,229",92,$45.75,"$1,693.84","$41,038.84",$48.23,6.49%,10.27%
Q4074,"Iloprost, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 20 micrograms",Ventavis,Iloprost Tromethamine,"$53,944,960","724,980","4,270",635,$74.41,"$12,633.48","$84,952.69","$52,393,141","620,575","3,641",499,$84.43,"$14,389.77","$104,996.27","$48,586,140","463,872","2,738",384,$104.74,"$17,745.12","$126,526.41","$36,485,000","317,401","1,884",261,$114.95,"$19,365.71","$139,789.27","$24,570,805","198,225","1,180",145,$123.95,"$20,822.72","$169,453.82",$126.18,7.83%,13.61%
Q4081,"Injection, epoetin alfa, 100 units (for esrd on dialysis)",Epogen (Q4081)*,Epoetin Alfa*,"$16,397,259","53,250,684","133,611","23,156",$0.31,$122.72,$708.12,"$1,467,229","1,362,892","11,716","7,970",$1.08,$125.23,$184.09,"$1,101",942,25, ,$1.17,$44.03, ,"$10,077","8,246",57,27,$1.22,$176.80,$373.24,"$31,635","24,413",114,17,$1.30,$277.50,"$1,860.90",$1.32,6.03%,43.23%
Q4101,"Apligraf, per square centimeter",Apligraf,"Cult Skin Subst,human-Bovine","$67,509,537","1,698,953","32,118","14,714",$39.74,"$2,101.92","$4,588.12","$5,525,442","150,810","3,669","1,466",$36.64,"$1,505.98","$3,769.06","$3,438,375","110,606","2,807","1,084",$31.09,"$1,224.93","$3,171.93","$2,564,876","83,901","2,191",849,$30.57,"$1,170.64","$3,021.06","$1,988,008","65,569","1,658",643,$30.32,"$1,199.04","$3,091.77",$30.93,-0.82%,-6.54%
Q4102,"Oasis wound matrix, per square centimeter",Wound Matrix,"Porcine Submucosa, Fenestrated","$4,507,539","540,680","29,408","10,491",$8.34,$153.28,$429.66,"$559,949","63,750","5,887","2,171",$8.78,$95.12,$257.92,"$445,540","47,538","4,285","1,693",$9.37,$103.98,$263.17,"$241,159","22,869","2,712","1,333",$10.55,$88.92,$180.91,"$226,370","20,970","3,303","1,824",$10.80,$68.53,$124.11,$10.99,2.37%,6.67%
Q4106,"Dermagraft, per square centimeter",Dermagraft,"Cult Skin Subst,human-Bovine","$41,389,081","967,857","20,105","5,820",$42.76,"$2,058.65","$7,111.53","$5,649,601","137,690","3,714",934,$41.03,"$1,521.16","$6,048.82","$3,657,724","108,287","2,955",763,$33.78,"$1,237.81","$4,793.87","$2,436,613","75,150","2,068",513,$32.42,"$1,178.25","$4,749.73","$2,105,400","65,112","1,810",440,$32.34,"$1,163.20","$4,785.00",$32.97,-0.27%,-6.75%
Q4121,"Theraskin, per square centimeter","Theraskin, Per Square Centimeter**", ,"$2,587,741","115,243","2,532","1,298",$22.45,"$1,022.01","$1,993.64","$1,006,275","75,906","1,639",860,$13.26,$613.96,"$1,170.09","$3,010,376","132,233","2,622","1,262",$22.77,"$1,148.12","$2,385.40","$4,784,487","179,094","4,902","2,143",$26.71,$976.03,"$2,232.61","$1,000,417","23,689",605,196,$42.23,"$1,653.58","$5,104.17",$43.30,58.08%,17.11%
Q4131,"Epifix or epicord, per square centimeter","EpiFix, Per Square Centimeter**", ,"$3,824,715","18,802","3,199","1,210",$203.42,"$1,195.60","$3,160.92","$23,967,120","145,017","12,857","4,963",$165.27,"$1,864.13","$4,829.16","$18,813,934","93,978","13,633","3,824",$200.20,"$1,380.03","$4,919.96","$48,769,468","280,924","26,358","6,170",$173.60,"$1,850.27","$7,904.29","$76,952,028","484,687","41,187","9,171",$158.77,"$1,868.36","$8,390.80",$161.79,-8.55%,-6.01%
Q4132,"Grafix core, per square centimeter","Grafix core, per square centimeter**", ,"$268,429","1,729",73,40,$155.25,"$3,677.12","$6,710.74","$1,722,458","17,884",618,259,$96.31,"$2,787.15","$6,650.42","$1,770,799","13,233",987,235,$133.82,"$1,794.12","$7,535.31","$2,982,157","20,937","1,270",334,$142.44,"$2,348.15","$8,928.61","$2,925,595","21,049","1,265",385,$138.99,"$2,312.72","$7,598.95",$137.90,-2.42%,-2.73%
Q4133,"Grafix prime, per square centimeter","Grafix prime, per square centimeter**", ,"$244,990","1,669",79,46,$146.79,"$3,101.14","$5,325.87","$3,692,363","38,543","1,251",472,$95.80,"$2,951.53","$7,822.80","$2,695,322","20,163","1,434",345,$133.68,"$1,879.58","$7,812.53","$7,755,215","50,440","2,168",541,$153.75,"$3,577.13","$14,334.96","$9,676,154","67,772","3,037",778,$142.77,"$3,186.09","$12,437.22",$138.64,-7.14%,-0.69%
Q5101,"Injection, filgrastim (G-CSF), biosimilar, 1 microgram",Zarxio,Filgrastim-Sndz, , , , , , , , , , , , , , ,"$858,063","898,457","2,089",460,$0.96,$410.75,"$1,865.35","$28,726,842","32,840,851","69,645","10,374",$0.87,$412.48,"$2,769.12","$37,197,960","50,798,041","103,591","16,145",$0.73,$359.08,"$2,303.99",$0.75,-16.29%,-12.44%
Q9950,"Injection, sulfur hexafluoride lipid microspheres, per ml",Lumason,Sulfur Hexafluoride Microsphr, , , , , , , , , , , , , , , , , , , , , ,"$234,394","17,806","3,709","3,648",$13.16,$63.20,$64.25,"$334,236","42,081","8,965","8,713",$7.94,$37.28,$38.36,$21.40,-39.66%,-39.66%
Q9956,"Injection, octafluoropropane microspheres, per ml",OptIson,Perflutren Protein-A Microsphr,"$247,098","6,760","2,632","2,142",$36.55,$93.88,$115.36,"$288,584","7,865","2,857","2,383",$36.69,$101.01,$121.10,"$380,066","10,747","3,689","3,231",$35.37,$103.03,$117.63,"$332,314","9,700","3,516","3,328",$34.26,$94.51,$99.85,"$353,496","10,496","3,702","3,485",$33.68,$95.49,$101.43,$34.21,-1.69%,-2.03%
Q9957,"Injection, perflutren lipid microspheres, per ml",Definity,Perflutren Lipid Microspheres,"$1,835,053","33,552","18,636","18,129",$54.69,$98.47,$101.22,"$1,889,408","34,449","18,938","18,400",$54.85,$99.77,$102.69,"$2,029,171","38,468","20,951","20,302",$52.75,$96.85,$99.95,"$2,159,274","42,197","22,942","22,195",$51.17,$94.12,$97.29,"$2,537,968","50,287","27,166","26,200",$50.47,$93.42,$96.87,$51.32,-1.37%,-1.99%
Q9958,"High osmolar contrast material, up to 149 mg/ml iodine concentration, per ml",Conray-30*,Iothalamate Meglumine*,"$12,877","138,749","2,937","2,229",$0.09,$4.38,$5.78,"$11,793","136,062","1,295","1,188",$0.09,$9.11,$9.93,"$14,042","165,521","1,310","1,199",$0.08,$10.72,$11.71,"$11,797","149,412","1,267","1,139",$0.08,$9.31,$10.36,"$15,311","191,999","1,555","1,350",$0.08,$9.85,$11.34,$0.08,1.00%,-3.72%
Q9960,"High osmolar contrast material, 200-249 mg/ml iodine concentration, per ml",Conray-43,Iothalamate Meglumine,"$7,044","42,141","7,787","4,234",$0.17,$0.90,$1.66,"$3,993","23,804","8,691","4,655",$0.17,$0.46,$0.86,"$4,209","24,092","9,222","4,692",$0.17,$0.46,$0.90,"$3,865","19,727","5,751","3,102",$0.20,$0.67,$1.25,"$12,029","53,561","5,482","2,904",$0.22,$2.19,$4.14,$0.23,14.63%,7.66%
Q9961,"High osmolar contrast material, 250-299 mg/ml iodine concentration, per ml",Cholografin Meglumine*,Iodipamide Meglumine*,"$8,738","46,955","4,736","2,553",$0.19,$1.84,$3.42,"$6,995","37,864","5,292","2,074",$0.18,$1.32,$3.37,"$7,850","38,039","5,617","2,464",$0.21,$1.40,$3.19,"$7,551","37,701","5,528","2,398",$0.20,$1.37,$3.15,"$6,935","28,405","4,531","2,076",$0.24,$1.53,$3.34,$0.25,21.90%,7.03%
