State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Westwood,Alcohol,0.632,0.492,0.277,0.735,0.58,0.742,0.605,0.662,0.64,0.519
Westwood,Marijuana,not available,not available,0.128,not available,not available,not available,not available,not available,0.12,not available
Westwood,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Westwood,Opioids,0.193,0.377,0.447,0.206,0.28,0.194,0.237,0.268,not available,0.407
Westwood,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Weymouth,Alcohol,0.39,0.315,0.29,0.315,0.3,0.297,0.282,0.274,0.236,0.227
Weymouth,Marijuana,0.035,0.031,0.038,0.031,0.025,0.018,0.016,0.021,0.016,0.021
Weymouth,None,not available,not available,not available,0.01,not available,not available,not available,not available,0.005,not available
Weymouth,Opioids,0.51,0.58,0.586,0.572,0.61,0.641,0.644,0.665,0.698,0.718
Weymouth,Other,0.059,0.074,0.083,0.071,0.06,0.042,0.056,0.039,0.046,0.034
Whately,Alcohol,0.667,0.667,0.818,0.462,0.6,0.857,not available,not available,not available,not available
Whately,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Whately,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Whately,Opioids,0.286,not available,not available,not available,not available,not available,not available,not available,not available,not available
Whately,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Whitman,Alcohol,0.43,0.352,0.399,0.404,0.321,0.296,0.254,0.23,0.225,0.199
Whitman,Marijuana,0.072,0.036,not available,0.044,0.028,0.051,0.021,0.027,not available,not available
Whitman,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Whitman,Opioids,0.435,0.542,0.513,0.504,0.615,0.619,0.684,0.73,0.705,0.762
Whitman,Other,0.045,0.053,0.054,0.035,not available,not available,0.024,not available,0.039,not available
Wilbraham,Alcohol,0.545,0.511,0.337,0.394,0.402,0.462,0.43,0.301,0.37,0.436
Wilbraham,Marijuana,not available,not available,0.059,0.055,not available,0.075,not available,0.071,0.072,0.045
Wilbraham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wilbraham,Opioids,0.386,0.277,0.505,0.413,0.491,0.426,0.489,0.592,0.544,0.436
Wilbraham,Other,not available,0.074,0.089,0.092,0.054,not available,not available,not available,not available,0.068
Williamsburg,Alcohol,0.344,0.516,0.565,0.706,0.583,0.714,0.438,0.857,0.467,not available
Williamsburg,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Williamsburg,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Williamsburg,Opioids,0.344,0.29,not available,not available,0.306,not available,0.438,not available,0.4,0.526
Williamsburg,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Williamtown,Alcohol,0.63,0.722,0.45,0.606,0.686,0.69,0.556,0.541,0.395,0.6
Williamtown,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Williamtown,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Williamtown,Opioids,not available,not available,0.425,0.273,0.2,0.167,not available,not available,0.489,not available
Williamtown,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wilmington,Alcohol,0.394,0.371,0.382,0.315,0.39,0.407,0.389,0.331,0.304,0.216
Wilmington,Marijuana,0.07,0.057,0.039,not available,0.05,0.033,0.025,0.056,not available,0.054
Wilmington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Wilmington,Opioids,0.516,0.548,0.56,0.626,0.518,0.527,0.541,0.564,0.647,0.714
Wilmington,Other,not available,not available,not available,not available,0.035,0.022,0.037,0.028,0.021,not available
Winchendon,Alcohol,0.344,0.438,0.471,0.312,0.376,0.337,0.38,0.324,0.333,0.263
Winchendon,Marijuana,0.075,0.057,0.118,0.109,0.109,not available,not available,not available,not available,not available
Winchendon,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Winchendon,Opioids,0.473,0.4,0.33,0.547,0.465,0.584,0.482,0.579,0.578,0.606
Winchendon,Other,not available,not available,0.082,not available,not available,not available,not available,not available,not available,not available
Winchester,Alcohol,0.368,0.457,0.5,0.533,0.441,0.536,0.702,0.417,0.473,0.421
Winchester,Marijuana,0.053,0.065,0.062,not available,not available,not available,not available,0.117,not available,not available
Winchester,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Winchester,Opioids,0.5,0.37,0.354,0.378,0.495,0.393,0.123,0.433,0.473,0.421
Winchester,Other,0.079,not available,0.062,not available,not available,not available,not available,not available,not available,not available
Windsor,Alcohol,0.292,0.281,0.333,0.471,0.7,not available,not available,not available,0.471,not available
Windsor,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Windsor,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Windsor,Opioids,0.417,0.406,0.476,not available,not available,not available,not available,not available,0.471,not available
Windsor,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Winthrop,Alcohol,0.231,0.216,0.273,0.292,0.2,0.259,0.266,0.299,0.268,0.239
Winthrop,Marijuana,0.037,0.057,0.044,0.025,0.033,0.028,0.06,0.052,0.045,0.075
Winthrop,None,not available,not available,not available,not available,not available,not available,0.029,0.062,0.04,0.028
Winthrop,Opioids,0.654,0.632,0.576,0.6,0.711,0.655,0.597,0.529,0.567,0.6
Winthrop,Other,0.071,0.096,0.104,0.078,0.055,0.05,0.049,0.057,0.08,0.059
Woburn,Alcohol,0.418,0.365,0.406,0.423,0.349,0.288,0.279,0.318,0.324,0.247
Woburn,Marijuana,0.023,0.046,0.031,0.055,0.026,0.033,0.028,0.016,0.023,0.047
Woburn,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Woburn,Opioids,0.52,0.526,0.469,0.478,0.57,0.623,0.64,0.615,0.607,0.685
Woburn,Other,0.031,0.057,0.091,0.026,0.05,0.057,0.052,0.049,0.044,not available
Worcester,Alcohol,0.284,0.324,0.348,0.335,0.341,0.342,0.318,0.265,0.247,0.248
Worcester,Marijuana,0.032,0.05,0.054,0.067,0.064,0.048,0.051,0.043,0.03,0.026
Worcester,None,not available,0.002,0.002,0.007,0.003,not available,0.002,not available,0.003,not available
Worcester,Opioids,0.604,0.536,0.502,0.506,0.498,0.534,0.561,0.621,0.667,0.673
Worcester,Other,0.08,0.088,0.095,0.084,0.094,0.077,0.068,0.07,0.052,0.052
Worthington,Alcohol,0.621,0.613,0.7,0.464,0.471,not available,not available,not available,not available,not available
Worthington,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Worthington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
